,ema3,ema13,ema144,high,low,close,open,start,end,buy,sell,loss,balance,date
1497292200.0,2523.9352857142853,2614.225068350079,2820.722744225177,2600.0,2535.011,2559.0,2556.0,1497292200.0,1497294000.0,,,,436.1232228211,2017-06-12 23:30:00
1497294000.0,2545.824857142857,2601.7761790176855,2816.5396182494896,2566.203,2500.021,2508.367,2559.0,1497294000.0,1497295800.0,,,,436.1232228211,2017-06-13 00:00:00
1497295800.0,2529.7650000000003,2583.2541463473794,2811.60482991796,2528.856,2469.234,2487.356,2508.367,1497295800.0,1497297600.0,,,,436.1232228211,2017-06-13 00:30:00
1497297600.0,2503.5940000000005,2564.455360920824,2806.3797204931575,2598.704,2487.356,2575.0,2487.356,1497297600.0,1497299400.0,,,,436.1232228211,2017-06-13 01:00:00
1497299400.0,2540.439857142857,2562.4000393356846,2802.637784053496,2600.0,2550.836,2573.0,2575.0,1497299400.0,1497301200.0,,,,436.1232228211,2017-06-13 01:30:00
1497301200.0,2561.3365714285715,2560.1301343062214,2798.905887563329,2629.857,2555.0,2611.723,2560.003,1497301200.0,1497303000.0,,,,436.1232228211,2017-06-13 02:00:00
1497303000.0,2595.4131428571427,2564.6743682840224,2795.862718223102,2622.0,2585.15,2614.994,2617.999,1497303000.0,1497304800.0,,,,436.1232228211,2017-06-13 02:30:00
1497304800.0,2608.0602857142853,2570.148120485577,2792.903312029203,2630.411,2569.607,2583.819,2614.994,1497304800.0,1497306600.0,,,,436.1232228211,2017-06-13 03:00:00
1497306600.0,2596.7124285714285,2569.4707720999336,2789.5062713294615,2600.0,2572.002,2584.337,2583.819,1497306600.0,1497308400.0,,,,436.1232228211,2017-06-13 03:30:00
1497308400.0,2588.5685714285714,2569.131475558879,2786.196692339468,2640.0,2590.1,2636.68,2590.1,1497308400.0,1497310200.0,,,,436.1232228211,2017-06-13 04:00:00
1497310200.0,2614.1732857142856,2580.2795098768092,2783.771035286458,2641.0,2600.0,2609.442,2636.68,1497310200.0,1497312000.0,,,,436.1232228211,2017-06-13 04:30:00
1497312000.0,2613.6378571428572,2586.926028686976,2780.919583294732,2640.999,2601.509,2640.999,2605.265,1497312000.0,1497313800.0,,,,436.1232228211,2017-06-13 05:00:00
1497313800.0,2631.365714285714,2598.434501105357,2778.5995455119705,2658.091,2630.0,2650.893,2640.112,1497313800.0,1497315600.0,,,,436.1232228211,2017-06-13 05:30:00
1497315600.0,2642.144571428572,2608.0209161678604,2776.4751692561836,2656.365,2637.319,2651.82,2650.86,1497315600.0,1497317400.0,,,,436.1232228211,2017-06-13 06:00:00
1497317400.0,2650.009285714286,2616.343874474526,2774.374464364447,2653.0,2601.0,2611.253,2651.82,1497317400.0,1497319200.0,,,,436.1232228211,2017-06-13 06:30:00
1497319200.0,2628.5064285714284,2617.906597579919,2771.6478105006677,2640.443,2611.253,2640.06,2611.253,1497319200.0,1497321000.0,,,,436.1232228211,2017-06-13 07:00:00
1497321000.0,2633.5094285714285,2624.4701871572197,2769.413678349765,2662.161,2629.629,2637.0,2640.056,1497321000.0,1497322800.0,,,,436.1232228211,2017-06-13 07:30:00
